	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF
50	7	10110010001000001111101110110010111110111011001011111111111110110010000000000000101100100010000010110010001000001111101110110010	iaaiiai	64	N	NA	7	iaaiiai	64	10110010001000001111101110110010111110111011001011111111111110110010000000000000101100100010000010110010001000001111101110110010
51	7	01110001000100001111011101110001111101110111000111111111111101110001000000000000011100010001000001110001000100001111011101110001	iaaiiaa	64	N	NA	7	iaaiiaa	64	01110001000100001111011101110001111101110111000111111111111101110001000000000000011100010001000001110001000100001111011101110001
52	7	10001110000010001110111110001110111011111000111011111111111011110000100000000000100011100000100010001110000010001110111110001110	iaaiaii	64	N	NA	7	iaaiaii	64	10001110000010001110111110001110111011111000111011111111111011110000100000000000100011100000100010001110000010001110111110001110
53	7	01001101000001001101111101001101110111110100110111111111110111110000010000000000010011010000010001001101000001001101111101001101	iaaiaia	64	N	NA	7	iaaiaia	64	01001101000001001101111101001101110111110100110111111111110111110000010000000000010011010000010001001101000001001101111101001101
54	7	00101011000000101011111100101011101111110010101111111111101111110000001000000000001010110000001000101011000000101011111100101011	iaaiaai	64	N	NA	7	iaaiaai	64	00101011000000101011111100101011101111110010101111111111101111110000001000000000001010110000001000101011000000101011111100101011
55	7	00010111000000010111111100010111011111110001011111111111011111110000000100000000000101110000000100010111000000010111111100010111	iaaiaaa	64	N	NA	7	iaaiaaa	64	00010111000000010111111100010111011111110001011111111111011111110000000100000000000101110000000100010111000000010111111100010111
56	7	10000000111010001110100011111110111010001111111011111110111111110000000010000000100000001110100010000000111010001110100011111110	iaaaiii	64	N	NA	7	iaaaiii	64	10000000111010001110100011111110111010001111111011111110111111110000000010000000100000001110100010000000111010001110100011111110
57	7	01000000110101001101010011111101110101001111110111111101111111110000000001000000010000001101010001000000110101001101010011111101	iaaaiia	64	N	NA	7	iaaaiia	64	01000000110101001101010011111101110101001111110111111101111111110000000001000000010000001101010001000000110101001101010011111101
58	7	00100000101100101011001011111011101100101111101111111011111111110000000000100000001000001011001000100000101100101011001011111011	iaaaiai	64	N	NA	7	iaaaiai	64	00100000101100101011001011111011101100101111101111111011111111110000000000100000001000001011001000100000101100101011001011111011
59	7	00010000011100010111000111110111011100011111011111110111111111110000000000010000000100000111000100010000011100010111000111110111	iaaaiaa	64	N	NA	7	iaaaiaa	64	00010000011100010111000111110111011100011111011111110111111111110000000000010000000100000111000100010000011100010111000111110111
60	7	00001000100011101000111011101111100011101110111111101111111111110000000000001000000010001000111000001000100011101000111011101111	iaaaaii	64	N	NA	7	iaaaaii	64	00001000100011101000111011101111100011101110111111101111111111110000000000001000000010001000111000001000100011101000111011101111
61	7	00000100010011010100110111011111010011011101111111011111111111110000000000000100000001000100110100000100010011010100110111011111	iaaaaia	64	N	NA	7	iaaaaia	64	00000100010011010100110111011111010011011101111111011111111111110000000000000100000001000100110100000100010011010100110111011111
62	7	00000010001010110010101110111111001010111011111110111111111111110000000000000010000000100010101100000010001010110010101110111111	iaaaaai	64	N	NA	7	iaaaaai	64	00000010001010110010101110111111001010111011111110111111111111110000000000000010000000100010101100000010001010110010101110111111
63	7	00000001000101110001011101111111000101110111111101111111111111110000000000000001000000010001011100000001000101110001011101111111	iaaaaaa	64	N	NA	7	iaaaaaa	64	00000001000101110001011101111111000101110111111101111111111111110000000000000001000000010001011100000001000101110001011101111111
64	7	11111110111010001110100010000000111010001000000010000000000000001111111111111110111111101110100011111110111010001110100010000000	aiiiiii	64	N	NA	7	aiiiiii	64	11111110111010001110100010000000111010001000000010000000000000001111111111111110111111101110100011111110111010001110100010000000
65	7	11111101110101001101010001000000110101000100000001000000000000001111111111111101111111011101010011111101110101001101010001000000	aiiiiia	64	N	NA	7	aiiiiia	64	11111101110101001101010001000000110101000100000001000000000000001111111111111101111111011101010011111101110101001101010001000000
66	7	11111011101100101011001000100000101100100010000000100000000000001111111111111011111110111011001011111011101100101011001000100000	aiiiiai	64	N	NA	7	aiiiiai	64	11111011101100101011001000100000101100100010000000100000000000001111111111111011111110111011001011111011101100101011001000100000
67	7	11110111011100010111000100010000011100010001000000010000000000001111111111110111111101110111000111110111011100010111000100010000	aiiiiaa	64	N	NA	7	aiiiiaa	64	11110111011100010111000100010000011100010001000000010000000000001111111111110111111101110111000111110111011100010111000100010000
68	7	11101111100011101000111000001000100011100000100000001000000000001111111111101111111011111000111011101111100011101000111000001000	aiiiaii	64	N	NA	7	aiiiaii	64	11101111100011101000111000001000100011100000100000001000000000001111111111101111111011111000111011101111100011101000111000001000
69	7	11011111010011010100110100000100010011010000010000000100000000001111111111011111110111110100110111011111010011010100110100000100	aiiiaia	64	N	NA	7	aiiiaia	64	11011111010011010100110100000100010011010000010000000100000000001111111111011111110111110100110111011111010011010100110100000100
