	Unnamed: 0	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF	avg_sen	complexity
56	56	7	00000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	0	6	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000	0.1875	6
57	57	7	00000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	1	6	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000	0.1875	6
58	58	7	00000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	2	6	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000	0.1875	6
59	59	7	00000000111010000000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000	iiiaiii	7	Y	3	7	iiiaiii	7	00000000111010000000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000	0.578125	21
60	60	7	00000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	4	6	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000	0.1875	6
61	61	7	00000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	5	6	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000	0.1875	6
62	62	7	00000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	6	6	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000	0.1875	6
63	63	7	01000000110101000000000001000000000000000100000000000000000000000100000011010100000000000100000000000000010000000000000000000000	iiiaiia	14	Y	0	6	iiaiia	7	0100000011010100000000000100000000000000010000000000000000000000	0.9375	20
64	64	7	01000000110101000000000001000000010000001101010000000000010000000000000001000000000000000000000000000000010000000000000000000000	iiiaiia	14	Y	1	6	iiaiia	7	0100000011010100000000000100000000000000010000000000000000000000	0.9375	20
65	65	7	01000000110101000100000011010100000000000100000000000000010000000000000001000000000000000100000000000000000000000000000000000000	iiiaiia	14	Y	2	6	iiaiia	7	0100000011010100000000000100000000000000010000000000000000000000	0.9375	20
