"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
141	0	1	1	1000
141	0	2	1	1464
141	0	3	1	26
141	0	4	3	1074
141	0	5	3	532
142	0	1	2	4096
143	0	1	4	1734
143	0	2	6	2362
144	0	1	2	4096
145	0	1	1	3040
145	0	2	1	48
145	0	3	2	544
145	0	4	2	320
145	0	5	2	144
146	0	1	1	4096
147	0	1	1	3536
147	0	2	2	560
148	0	1	2	790
148	0	2	2	2084
148	0	3	4	1222
149	0	1	1	3584
149	0	2	2	512
150	0	1	1	270
150	0	2	1	3826
151	0	1	2	476
151	0	2	2	1060
151	0	3	4	240
151	0	4	4	1072
151	0	5	4	544
151	0	6	4	704
152	0	1	2	1022
152	0	2	2	1232
152	0	3	2	716
152	0	4	2	534
152	0	5	2	224
152	0	6	2	284
152	0	7	2	84
153	0	1	1	240
153	0	2	1	64
153	0	3	2	2176
153	0	4	2	1616
154	0	1	1	3824
154	0	2	4	272
155	0	1	4	4096
156	0	1	4	2830
156	0	2	4	977
156	0	3	4	177
156	0	4	4	112
157	0	1	1	272
157	0	2	1	1815
157	0	3	1	505
157	0	4	1	6
157	0	5	1	487
157	0	6	2	908
157	0	7	2	88
157	0	8	2	15
158	0	1	5	1688
158	0	2	5	360
158	0	3	16	2048
159	0	1	2	1575
159	0	2	4	741
159	0	3	4	623
159	0	4	4	1157
160	0	1	1	338
160	0	2	5	3758
161	0	1	1	3654
161	0	2	1	92
161	0	3	2	350
162	0	1	1	222
162	0	2	1	36
162	0	3	1	2
162	0	4	2	1126
162	0	5	2	324
162	0	6	2	622
162	0	7	2	508
162	0	8	2	1256
163	0	1	1	326
163	0	2	1	20
163	0	3	1	4
163	0	4	1	24
163	0	5	1	32
163	0	6	2	290
163	0	7	2	24
163	0	8	2	300
163	0	9	2	324
163	0	10	4	1172
163	0	11	4	1580
164	0	1	2	2004
164	0	2	2	2092
165	0	1	2	768
165	0	2	2	512
165	0	3	2	2048
165	0	4	2	432
165	0	5	2	336
166	0	1	1	56
166	0	2	1	22
166	0	3	1	1634
166	0	4	1	1612
166	0	5	1	49
166	0	6	1	20
166	0	7	1	7
166	0	8	2	136
166	0	9	2	243
166	0	10	2	317
167	0	1	1	208
167	0	2	1	3888
168	0	1	7	4096
169	0	1	2	268
169	0	2	7	3828
170	0	1	2	4096
171	0	1	2	1024
171	0	2	4	3072
172	0	1	1	768
172	0	2	1	2664
172	0	3	1	664
173	0	1	2	8
173	0	2	15	4088
174	0	1	1	4096
175	0	1	1	2756
175	0	2	1	200
175	0	3	1	412
175	0	4	1	256
175	0	5	2	472
176	0	1	1	3134
176	0	2	1	81
176	0	3	1	15
176	0	4	1	6
176	0	5	1	2
176	0	6	2	78
176	0	7	2	666
176	0	8	2	74
176	0	9	2	32
176	0	10	2	8
177	0	1	2	12
177	0	2	3	4084
178	0	1	2	172
178	0	2	2	15
178	0	3	2	304
178	0	4	2	293
178	0	5	2	3190
178	0	6	2	122
179	0	1	1	1024
179	0	2	1	486
179	0	3	1	26
179	0	4	2	1536
179	0	5	2	214
179	0	6	2	536
179	0	7	2	168
179	0	8	2	106
180	0	1	1	396
180	0	2	1	268
180	0	3	1	1628
180	0	4	1	1572
180	0	5	1	56
180	0	6	1	142
180	0	7	1	26
180	0	8	1	8
181	0	1	4	1424
181	0	2	11	2672
182	0	1	1	160
182	0	2	1	3350
182	0	3	1	522
182	0	4	1	42
182	0	5	3	22
183	0	1	1	13
183	0	2	1	1717
183	0	3	1	544
183	0	4	2	1822
184	0	1	1	4087
184	0	2	1	9
185	0	1	1	264
185	0	2	1	736
185	0	3	5	3096
186	0	1	1	26
186	0	2	3	510
186	0	3	5	1124
186	0	4	6	2436
187	0	1	4	4096
188	0	1	1	902
188	0	2	1	1062
188	0	3	1	264
188	0	4	1	172
188	0	5	1	32
188	0	6	2	1400
188	0	7	2	72
188	0	8	2	192
189	0	1	4	1776
189	0	2	4	714
189	0	3	4	1282
189	0	4	4	324
190	0	1	1	3464
190	0	2	1	4
190	0	3	1	124
190	0	4	2	504
191	0	1	1	56
191	0	2	1	146
191	0	3	1	562
191	0	4	1	504
191	0	5	3	2828
192	0	1	2	3316
192	0	2	2	398
192	0	3	2	128
192	0	4	2	254
193	0	1	1	4096
194	0	1	4	672
194	0	2	4	555
194	0	3	4	773
194	0	4	4	632
194	0	5	4	149
194	0	6	4	1315
195	0	1	1	93
195	0	2	1	20
195	0	3	1	2028
195	0	4	1	22
195	0	5	1	20
195	0	6	2	238
195	0	7	2	40
195	0	8	4	191
195	0	9	4	254
195	0	10	4	228
195	0	11	4	440
195	0	12	4	138
195	0	13	4	384
196	0	1	1	1980
196	0	2	1	240
196	0	3	9	1876
197	0	1	1	48
197	0	2	3	4048
198	0	1	2	1228
198	0	2	2	880
198	0	3	2	1892
198	0	4	2	96
199	0	1	2	532
199	0	2	2	2946
199	0	3	2	547
199	0	4	2	71
200	0	1	2	4096
201	0	1	1	856
201	0	2	1	552
201	0	3	2	456
201	0	4	4	736
201	0	5	6	1496
202	0	1	4	4096
203	0	1	1	2560
203	0	2	3	96
203	0	3	8	1440
204	0	1	1	1169
204	0	2	1	32
204	0	3	1	10
204	0	4	2	438
204	0	5	2	1272
204	0	6	2	1175
205	0	1	2	1965
205	0	2	2	6
205	0	3	3	116
205	0	4	4	1641
205	0	5	4	368
206	0	1	1	876
206	0	2	1	194
206	0	3	1	10
206	0	4	2	383
206	0	5	2	220
206	0	6	2	2413
207	0	1	1	88
207	0	2	4	4008
208	0	1	2	1664
208	0	2	2	1984
208	0	3	2	224
208	0	4	2	224
209	0	1	2	808
209	0	2	2	3288
210	0	1	1	488
210	0	2	1	32
210	0	3	2	1582
210	0	4	5	1994
211	0	1	1	744
211	0	2	1	1816
211	0	3	1	58
211	0	4	1	1474
211	0	5	1	4
212	0	1	18	4096
213	0	1	2	4096
214	0	1	12	4096
215	0	1	4	4096
216	0	1	2	2486
216	0	2	2	1610
217	0	1	1	1690
217	0	2	3	2406
218	0	1	2	833
218	0	2	2	1792
218	0	3	2	1471
219	0	1	1	2109
219	0	2	3	710
219	0	3	5	1277
220	0	1	1	2
220	0	2	2	8
220	0	3	4	116
220	0	4	6	214
220	0	5	12	3756
221	0	1	1	4048
221	0	2	1	48
222	0	1	2	4096
223	0	1	1	488
223	0	2	1	488
223	0	3	1	24
223	0	4	1	24
223	0	5	1	1536
223	0	6	1	1536
224	0	1	11	4096
225	0	1	2	1903
225	0	2	3	671
225	0	3	4	1522
226	0	1	1	3984
226	0	2	1	112
227	0	1	1	744
227	0	2	1	549
227	0	3	1	128
227	0	4	3	1079
227	0	5	3	1596
228	0	1	1	1414
228	0	2	1	19
228	0	3	1	128
228	0	4	1	2
228	0	5	2	2040
228	0	6	2	48
228	0	7	2	8
228	0	8	3	437
229	0	1	2	592
229	0	2	4	1603
229	0	3	4	1901
230	0	1	1	604
230	0	2	1	968
230	0	3	2	236
230	0	4	3	824
230	0	5	5	712
230	0	6	5	752
231	0	1	3	4096
232	0	1	2	1098
232	0	2	2	61
232	0	3	2	1957
232	0	4	2	13
232	0	5	4	377
232	0	6	4	590
233	0	1	2	1276
233	0	2	2	2820
234	0	1	2	4032
234	0	2	2	64
235	0	1	2	128
235	0	2	2	3968
236	0	1	1	4096
237	0	1	2	96
237	0	2	3	4000
238	0	1	1	2980
238	0	2	1	4
238	0	3	1	7
238	0	4	1	1
238	0	5	2	1092
238	0	6	2	12
239	0	1	1	286
239	0	2	1	146
239	0	3	4	3664
240	0	1	1	2738
240	0	2	1	347
240	0	3	1	6
240	0	4	1	658
240	0	5	1	36
240	0	6	3	64
240	0	7	3	247
241	0	1	1	2124
241	0	2	1	580
241	0	3	1	500
241	0	4	2	412
241	0	5	2	480
242	0	1	1	4040
242	0	2	1	50
242	0	3	1	6
243	0	1	1	4096
244	0	1	1	864
244	0	2	1	48
244	0	3	1	2373
244	0	4	4	326
244	0	5	4	485
245	0	1	2	658
245	0	2	2	3294
245	0	3	2	144
246	0	1	1	4096
247	0	1	2	4096
248	0	1	1	144
248	0	2	8	3952
249	0	1	1	3922
249	0	2	2	82
249	0	3	4	92
250	0	1	2	4096
251	0	1	1	200
251	0	2	1	2304
251	0	3	2	348
251	0	4	2	1188
251	0	5	2	56
252	0	1	3	3766
252	0	2	4	330
253	0	1	1	976
253	0	2	4	2516
253	0	3	4	604
254	0	1	2	1259
254	0	2	2	291
254	0	3	3	2546
255	0	1	6	2616
255	0	2	12	1480
256	0	1	2	1440
256	0	2	2	371
256	0	3	2	224
256	0	4	2	352
256	0	5	6	672
256	0	6	6	1037
257	0	1	1	3744
257	0	2	1	220
257	0	3	1	108
257	0	4	1	24
258	0	1	4	2064
258	0	2	4	2032
259	0	1	2	4096
260	0	1	1	1538
260	0	2	2	2558
261	0	1	1	3612
261	0	2	2	288
261	0	3	2	196
262	0	1	4	4096
263	0	1	1	1026
263	0	2	1	36
263	0	3	5	3034
264	0	1	1	160
264	0	2	1	534
264	0	3	1	1192
264	0	4	1	400
264	0	5	1	992
264	0	6	1	28
264	0	7	1	52
264	0	8	2	268
264	0	9	2	470
265	0	1	1	644
265	0	2	1	2808
265	0	3	2	330
265	0	4	2	314
266	0	1	4	2101
266	0	2	4	1995
267	0	1	1	1768
267	0	2	1	56
267	0	3	1	1200
267	0	4	1	1048
267	0	5	1	24
268	0	1	1	91
268	0	2	1	16
268	0	3	2	103
268	0	4	4	3720
268	0	5	5	166
269	0	1	1	172
269	0	2	1	637
269	0	3	2	612
269	0	4	2	773
269	0	5	2	12
269	0	6	4	424
269	0	7	4	1272
269	0	8	4	194
270	0	1	1	1813
270	0	2	4	2283
271	0	1	1	4096
272	0	1	1	4096
273	0	1	1	96
273	0	2	1	4000
274	0	1	11	4096
275	0	1	1	80
275	0	2	1	216
275	0	3	1	2944
275	0	4	1	304
275	0	5	1	56
275	0	6	3	204
275	0	7	3	292
276	0	1	2	71
276	0	2	2	24
276	0	3	7	4001
277	0	1	1	2404
277	0	2	2	340
277	0	3	4	1352
278	0	1	5	512
278	0	2	10	3584
279	0	1	2	1983
279	0	2	2	1085
279	0	3	2	604
279	0	4	2	424
280	0	1	1	812
280	0	2	2	3284
281	0	1	2	1044
281	0	2	2	272
281	0	3	2	1507
281	0	4	2	989
281	0	5	2	156
281	0	6	2	128
282	0	1	1	2799
282	0	2	3	1297
283	0	1	1	190
283	0	2	5	3906
284	0	1	1	3254
284	0	2	1	692
284	0	3	1	101
284	0	4	1	37
284	0	5	1	12
285	0	1	1	1422
