"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
192	0	3	2	3300
193	0	1	2	1552
193	0	2	2	1357
193	0	3	2	478
193	0	4	2	524
193	0	5	2	146
193	0	6	2	39
194	0	1	4	4096
195	0	1	2	1462
195	0	2	2	336
195	0	3	2	128
195	0	4	3	104
195	0	5	4	2066
196	0	1	4	4096
197	0	1	1	68
197	0	2	2	2584
197	0	3	2	1444
198	0	1	1	246
198	0	2	1	3
198	0	3	2	386
198	0	4	2	1056
198	0	5	2	1457
198	0	6	2	96
198	0	7	2	97
198	0	8	2	654
198	0	9	2	101
199	0	1	2	121
199	0	2	4	3975
200	0	1	2	118
200	0	2	2	115
200	0	3	2	50
200	0	4	2	8
200	0	5	4	56
200	0	6	8	1246
200	0	7	8	1424
200	0	8	10	1079
201	0	1	11	4096
202	0	1	2	1872
202	0	2	2	104
202	0	3	3	98
202	0	4	4	519
202	0	5	6	1503
203	0	1	1	4013
203	0	2	1	83
204	0	1	2	295
204	0	2	2	2244
204	0	3	4	1557
205	0	1	2	2311
205	0	2	2	1498
205	0	3	2	241
205	0	4	2	46
206	0	1	1	26
206	0	2	1	2796
206	0	3	1	302
206	0	4	1	657
206	0	5	1	11
206	0	6	3	76
206	0	7	3	96
206	0	8	3	70
206	0	9	3	62
207	0	1	1	2215
207	0	2	1	323
207	0	3	1	289
207	0	4	1	53
207	0	5	1	121
207	0	6	1	80
207	0	7	1	272
207	0	8	1	79
207	0	9	1	116
207	0	10	1	58
207	0	11	1	58
207	0	12	1	22
207	0	13	1	76
207	0	14	1	32
207	0	15	1	12
207	0	16	2	112
207	0	17	2	88
207	0	18	2	15
207	0	19	2	21
207	0	20	2	31
207	0	21	2	23
208	0	1	1	1920
208	0	2	3	2176
209	0	1	1	2300
209	0	2	9	1796
210	0	1	1	5
210	0	2	1	7
210	0	3	2	9
210	0	4	3	68
210	0	5	3	242
210	0	6	6	3765
211	0	1	1	4096
212	0	1	1	2581
212	0	2	2	760
212	0	3	2	256
212	0	4	4	283
212	0	5	4	216
213	0	1	1	3230
213	0	2	1	445
213	0	3	2	22
213	0	4	4	335
213	0	5	6	64
214	0	1	1	4088
214	0	2	1	8
215	0	1	1	11
215	0	2	1	10
215	0	3	2	4075
216	0	1	2	698
216	0	2	7	3398
217	0	1	1	28
217	0	2	1	116
217	0	3	1	3663
217	0	4	2	41
217	0	5	2	248
218	0	1	2	3691
218	0	2	2	177
218	0	3	2	228
219	0	1	4	1886
219	0	2	4	2210
220	0	1	2	46
220	0	2	5	4050
221	0	1	1	2832
221	0	2	2	882
221	0	3	2	382
222	0	1	1	1085
222	0	2	1	748
222	0	3	2	170
222	0	4	2	89
222	0	5	4	416
222	0	6	4	1588
223	0	1	2	4096
224	0	1	3	2233
224	0	2	4	1863
225	0	1	1	572
225	0	2	2	128
225	0	3	4	2281
225	0	4	6	658
225	0	5	6	457
226	0	1	2	3899
226	0	2	2	197
227	0	1	1	3643
227	0	2	1	342
227	0	3	2	63
227	0	4	2	48
228	0	1	2	219
228	0	2	2	1786
228	0	3	2	149
228	0	4	2	1097
228	0	5	2	38
228	0	6	2	86
228	0	7	2	78
228	0	8	2	124
228	0	9	2	20
228	0	10	4	82
228	0	11	4	94
228	0	12	4	107
228	0	13	4	216
229	0	1	2	1448
229	0	2	2	2388
229	0	3	2	130
229	0	4	4	130
230	0	1	2	4096
231	0	1	1	1573
231	0	2	1	1312
231	0	3	1	191
231	0	4	2	1001
231	0	5	2	19
232	0	1	1	2242
232	0	2	1	1854
233	0	1	4	4096
234	0	1	1	654
234	0	2	1	1386
234	0	3	4	2056
235	0	1	1	413
235	0	2	1	100
235	0	3	1	25
235	0	4	2	2991
235	0	5	2	448
235	0	6	2	23
235	0	7	2	75
235	0	8	2	21
236	0	1	1	4096
237	0	1	1	4060
237	0	2	2	36
238	0	1	1	799
238	0	2	2	886
238	0	3	2	2411
239	0	1	1	81
239	0	2	1	139
239	0	3	1	3876
240	0	1	2	1995
240	0	2	2	717
240	0	3	2	113
240	0	4	2	133
240	0	5	2	452
240	0	6	4	272
240	0	7	4	414
241	0	1	1	12
241	0	2	1	3999
241	0	3	1	8
241	0	4	2	12
241	0	5	2	8
241	0	6	3	57
242	0	1	1	84
242	0	2	1	13
242	0	3	1	7
242	0	4	1	3
242	0	5	2	61
242	0	6	2	48
242	0	7	2	59
242	0	8	3	276
242	0	9	4	1083
242	0	10	4	1855
242	0	11	4	254
242	0	12	5	154
242	0	13	5	199
243	0	1	1	1298
243	0	2	1	2382
243	0	3	3	416
244	0	1	2	1747
244	0	2	2	1123
244	0	3	2	1226
245	0	1	1	1640
245	0	2	5	2456
246	0	1	1	4096
247	0	1	8	4096
248	0	1	2	1024
248	0	2	12	3072
249	0	1	1	4
249	0	2	4	4092
250	0	1	3	1492
250	0	2	4	1837
250	0	3	5	767
251	0	1	1	931
251	0	2	1	4
251	0	3	1	104
251	0	4	2	220
251	0	5	3	1094
251	0	6	3	1743
252	0	1	5	4096
253	0	1	6	4096
254	0	1	1	49
254	0	2	2	3991
254	0	3	2	56
255	0	1	1	12
255	0	2	1	1
255	0	3	4	4083
256	0	1	1	3028
256	0	2	1	1068
257	0	1	4	2966
257	0	2	4	1130
258	0	1	3	752
258	0	2	4	3344
259	0	1	1	120
259	0	2	1	3061
259	0	3	1	44
259	0	4	1	35
259	0	5	1	836
260	0	1	2	1873
260	0	2	2	886
260	0	3	4	658
260	0	4	4	364
260	0	5	5	315
261	0	1	1	3083
261	0	2	1	951
