	k	BF	sign	bias	self_loop	self_loop_index	Real_k	ineff_inps	Real_sign	real_bias	EF_BF
17	7	00100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiai	2	Y	3	6	[3]	iiiiai	1	0010000000000000000000000000000000000000000000000000000000000000
18	7	00100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiai	2	Y	4	6	[4]	iiiiai	1	0010000000000000000000000000000000000000000000000000000000000000
19	7	00110010001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000	iiiiiai	7	Y	5	7	[]	iiiiiai	7	00110010001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000
20	7	00110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiai	2	Y	6	6	[6]	iiiiia	1	0100000000000000000000000000000000000000000000000000000000000000
21	7	01110001000100000001000000000000000100000000000000000000000000000111000100010000000100000000000000010000000000000000000000000000	iiiiiaa	14	Y	0	6	[0]	iiiiaa	7	0111000100010000000100000000000000010000000000000000000000000000
22	7	01110001000100000001000000000000011100010001000000010000000000000001000000000000000000000000000000010000000000000000000000000000	iiiiiaa	14	Y	1	6	[1]	iiiiaa	7	0111000100010000000100000000000000010000000000000000000000000000
23	7	01110001000100000111000100010000000100000000000000010000000000000001000000000000000100000000000000000000000000000000000000000000	iiiiiaa	14	Y	2	6	[2]	iiiiaa	7	0111000100010000000100000000000000010000000000000000000000000000
24	7	01110001011100010001000000010000000100000001000000000000000000000001000000010000000000000000000000000000000000000000000000000000	iiiiiaa	14	Y	3	6	[3]	iiiiaa	7	0111000100010000000100000000000000010000000000000000000000000000
25	7	01110111000100010001000100000000000100010000000000000000000000000001000100000000000000000000000000000000000000000000000000000000	iiiiiaa	14	Y	4	6	[4]	iiiiaa	7	0111000100010000000100000000000000010000000000000000000000000000
26	7	01110011001100010011000100010000001100010001000000010000000000000011000100010000000100000000000000010000000000000000000000000000	iiiiiaa	23	Y	5	7	[]	iiiiiaa	23	01110011001100010011000100010000001100010001000000010000000000000011000100010000000100000000000000010000000000000000000000000000
27	7	01110101010100010101000100010000010100010001000000010000000000000101000100010000000100000000000000010000000000000000000000000000	iiiiiaa	23	Y	6	7	[]	iiiiiaa	23	01110101010100010101000100010000010100010001000000010000000000000101000100010000000100000000000000010000000000000000000000000000
28	7	00001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000	iiiiaii	2	Y	0	6	[0]	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000
29	7	00001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiaii	2	Y	1	6	[1]	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000
30	7	00001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiaii	2	Y	2	6	[2]	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000
31	7	00001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiaii	2	Y	3	6	[3]	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000
32	7	00001110000010000000100000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000	iiiiaii	7	Y	4	7	[]	iiiiaii	7	00001110000010000000100000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
33	7	00001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiaii	2	Y	5	6	[5]	iiiiai	1	0010000000000000000000000000000000000000000000000000000000000000
34	7	00001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiaii	2	Y	6	6	[6]	iiiiai	1	0010000000000000000000000000000000000000000000000000000000000000
35	7	01001101000001000000010000000000000001000000000000000000000000000100110100000100000001000000000000000100000000000000000000000000	iiiiaia	14	Y	0	6	[0]	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000
36	7	01001101000001000000010000000000010011010000010000000100000000000000010000000000000000000000000000000100000000000000000000000000	iiiiaia	14	Y	1	6	[1]	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000
37	7	01001101000001000100110100000100000001000000000000000100000000000000010000000000000001000000000000000000000000000000000000000000	iiiiaia	14	Y	2	6	[2]	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000
38	7	01001101010011010000010000000100000001000000010000000000000000000000010000000100000000000000000000000000000000000000000000000000	iiiiaia	14	Y	3	6	[3]	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000
39	7	01001111000011010000110100000100000011010000010000000100000000000000110100000100000001000000000000000100000000000000000000000000	iiiiaia	23	Y	4	7	[]	iiiiaia	23	01001111000011010000110100000100000011010000010000000100000000000000110100000100000001000000000000000100000000000000000000000000
40	7	01011111000001010000010100000000000001010000000000000000000000000000010100000000000000000000000000000000000000000000000000000000	iiiiaia	14	Y	5	6	[5]	iiiiaa	7	0111000100010000000100000000000000010000000000000000000000000000
41	7	01011101010001010100010100000100010001010000010000000100000000000100010100000100000001000000000000000100000000000000000000000000	iiiiaia	23	Y	6	7	[]	iiiiaia	23	01011101010001010100010100000100010001010000010000000100000000000100010100000100000001000000000000000100000000000000000000000000
42	7	00101011000000100000001000000000000000100000000000000000000000000010101100000010000000100000000000000010000000000000000000000000	iiiiaai	14	Y	0	6	[0]	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000
43	7	00101011000000100000001000000000001010110000001000000010000000000000001000000000000000000000000000000010000000000000000000000000	iiiiaai	14	Y	1	6	[1]	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000
44	7	00101011000000100010101100000010000000100000000000000010000000000000001000000000000000100000000000000000000000000000000000000000	iiiiaai	14	Y	2	6	[2]	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000
45	7	00101011001010110000001000000010000000100000001000000000000000000000001000000010000000000000000000000000000000000000000000000000	iiiiaai	14	Y	3	6	[3]	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000
46	7	00101111000010110000101100000010000010110000001000000010000000000000101100000010000000100000000000000010000000000000000000000000	iiiiaai	23	Y	4	7	[]	iiiiaai	23	00101111000010110000101100000010000010110000001000000010000000000000101100000010000000100000000000000010000000000000000000000000
47	7	00111011001000110010001100000010001000110000001000000010000000000010001100000010000000100000000000000010000000000000000000000000	iiiiaai	23	Y	5	7	[]	iiiiaai	23	00111011001000110010001100000010001000110000001000000010000000000010001100000010000000100000000000000010000000000000000000000000
48	7	00111111000000110000001100000000000000110000000000000000000000000000001100000000000000000000000000000000000000000000000000000000	iiiiaai	14	Y	6	6	[6]	iiiiaa	7	0111000100010000000100000000000000010000000000000000000000000000
49	7	01111111000101110001011100000001000101110000000100000001000000000111111100010111000101110000000100010111000000010000000100000000	iiiiaaa	44	Y	0	6	[0]	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000
50	7	01111111000101110001011100000001011111110001011100010111000000010001011100000001000000010000000000010111000000010000000100000000	iiiiaaa	44	Y	1	6	[1]	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000
51	7	01111111000101110111111100010111000101110000000100010111000000010001011100000001000101110000000100000001000000000000000100000000	iiiiaaa	44	Y	2	6	[2]	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000
52	7	01111111011111110001011100010111000101110001011100000001000000010001011100010111000000010000000100000001000000010000000000000000	iiiiaaa	44	Y	3	6	[3]	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000
53	7	01111111000111110001111100000111000111110000011100000111000000010001111100000111000001110000000100000111000000010000000100000000	iiiiaaa	49	Y	4	7	[]	iiiiaaa	49	01111111000111110001111100000111000111110000011100000111000000010001111100000111000001110000000100000111000000010000000100000000
54	7	01111111001101110011011100010011001101110001001100010011000000010011011100010011000100110000000100010011000000010000000100000000	iiiiaaa	49	Y	5	7	[]	iiiiaaa	49	01111111001101110011011100010011001101110001001100010011000000010011011100010011000100110000000100010011000000010000000100000000
55	7	01111111010101110101011100010101010101110001010100010101000000010101011100010101000101010000000100010101000000010000000100000000	iiiiaaa	49	Y	6	7	[]	iiiiaaa	49	01111111010101110101011100010101010101110001010100010101000000010101011100010101000101010000000100010101000000010000000100000000
56	7	00000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	0	6	[0]	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000
57	7	00000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	1	6	[1]	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000
58	7	00000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	2	6	[2]	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000
59	7	00000000111010000000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000	iiiaiii	7	Y	3	7	[]	iiiaiii	7	00000000111010000000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000
60	7	00000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	4	6	[4]	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000
61	7	00000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	5	6	[5]	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000
62	7	00000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiaiii	2	Y	6	6	[6]	iiiaii	1	0000100000000000000000000000000000000000000000000000000000000000
63	7	01000000110101000000000001000000000000000100000000000000000000000100000011010100000000000100000000000000010000000000000000000000	iiiaiia	14	Y	0	6	[0]	iiaiia	7	0100000011010100000000000100000000000000010000000000000000000000
64	7	01000000110101000000000001000000010000001101010000000000010000000000000001000000000000000000000000000000010000000000000000000000	iiiaiia	14	Y	1	6	[1]	iiaiia	7	0100000011010100000000000100000000000000010000000000000000000000
65	7	01000000110101000100000011010100000000000100000000000000010000000000000001000000000000000100000000000000000000000000000000000000	iiiaiia	14	Y	2	6	[2]	iiaiia	7	0100000011010100000000000100000000000000010000000000000000000000
66	7	01000000111111010000000011010100000000001101010000000000010000000000000011010100000000000100000000000000010000000000000000000000	iiiaiia	23	Y	3	7	[]	iiiaiia	23	01000000111111010000000011010100000000001101010000000000010000000000000011010100000000000100000000000000010000000000000000000000
67	7	01000100110111010000000001000100000000000100010000000000000000000000000001000100000000000000000000000000000000000000000000000000	iiiaiia	14	Y	4	6	[4]	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000
68	7	01010000111101010000000001010000000000000101000000000000000000000000000001010000000000000000000000000000000000000000000000000000	iiiaiia	14	Y	5	6	[5]	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000
69	7	01010100110101010100000001010100010000000101010000000000010000000100000001010100000000000100000000000000010000000000000000000000	iiiaiia	23	Y	6	7	[]	iiiaiia	23	01010100110101010100000001010100010000000101010000000000010000000100000001010100000000000100000000000000010000000000000000000000
70	7	00100000101100100000000000100000000000000010000000000000000000000010000010110010000000000010000000000000001000000000000000000000	iiiaiai	14	Y	0	6	[0]	iiaiai	7	0010000010110010000000000010000000000000001000000000000000000000
71	7	00100000101100100000000000100000001000001011001000000000001000000000000000100000000000000000000000000000001000000000000000000000	iiiaiai	14	Y	1	6	[1]	iiaiai	7	0010000010110010000000000010000000000000001000000000000000000000
72	7	00100000101100100010000010110010000000000010000000000000001000000000000000100000000000000010000000000000000000000000000000000000	iiiaiai	14	Y	2	6	[2]	iiaiai	7	0010000010110010000000000010000000000000001000000000000000000000
73	7	00100000111110110000000010110010000000001011001000000000001000000000000010110010000000000010000000000000001000000000000000000000	iiiaiai	23	Y	3	7	[]	iiiaiai	23	00100000111110110000000010110010000000001011001000000000001000000000000010110010000000000010000000000000001000000000000000000000
74	7	00100010101110110000000000100010000000000010001000000000000000000000000000100010000000000000000000000000000000000000000000000000	iiiaiai	14	Y	4	6	[4]	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000
75	7	00110010101100110010000000110010001000000011001000000000001000000010000000110010000000000010000000000000001000000000000000000000	iiiaiai	23	Y	5	7	[]	iiiaiai	23	00110010101100110010000000110010001000000011001000000000001000000010000000110010000000000010000000000000001000000000000000000000
76	7	00110000111100110000000000110000000000000011000000000000000000000000000000110000000000000000000000000000000000000000000000000000	iiiaiai	14	Y	6	6	[6]	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000
77	7	01110001111101110001000001110001000100000111000100000000000100000111000111110111000100000111000100010000011100010000000000010000	iiiaiaa	44	Y	0	6	[0]	iiaiaa	22	0111000111110111000100000111000100010000011100010000000000010000
78	7	01110001111101110001000001110001011100011111011100010000011100010001000001110001000000000001000000010000011100010000000000010000	iiiaiaa	44	Y	1	6	[1]	iiaiaa	22	0111000111110111000100000111000100010000011100010000000000010000
79	7	01110001111101110111000111110111000100000111000100010000011100010001000001110001000100000111000100000000000100000000000000010000	iiiaiaa	44	Y	2	6	[2]	iiaiaa	22	0111000111110111000100000111000100010000011100010000000000010000
80	7	01110001111111110001000011110111000100001111011100000000011100010001000011110111000000000111000100000000011100010000000000010000	iiiaiaa	49	Y	3	7	[]	iiiaiaa	49	01110001111111110001000011110111000100001111011100000000011100010001000011110111000000000111000100000000011100010000000000010000
81	7	01110111111111110001000101110111000100010111011100000000000100010001000101110111000000000001000100000000000100010000000000000000	iiiaiaa	44	Y	4	6	[4]	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000
82	7	01110011111101110011000101110011001100010111001100010000001100010011000101110011000100000011000100010000001100010000000000010000	iiiaiaa	49	Y	5	7	[]	iiiaiaa	49	01110011111101110011000101110011001100010111001100010000001100010011000101110011000100000011000100010000001100010000000000010000
83	7	01110101111101110101000101110101010100010111010100010000010100010101000101110101000100000101000100010000010100010000000000010000	iiiaiaa	49	Y	6	7	[]	iiiaiaa	49	01110101111101110101000101110101010100010111010100010000010100010101000101110101000100000101000100010000010100010000000000010000
84	7	00001000100011100000000000001000000000000000100000000000000000000000100010001110000000000000100000000000000010000000000000000000	iiiaaii	14	Y	0	6	[0]	iiaaii	7	0000100010001110000000000000100000000000000010000000000000000000
85	7	00001000100011100000000000001000000010001000111000000000000010000000000000001000000000000000000000000000000010000000000000000000	iiiaaii	14	Y	1	6	[1]	iiaaii	7	0000100010001110000000000000100000000000000010000000000000000000
86	7	00001000100011100000100010001110000000000000100000000000000010000000000000001000000000000000100000000000000000000000000000000000	iiiaaii	14	Y	2	6	[2]	iiaaii	7	0000100010001110000000000000100000000000000010000000000000000000
87	7	00001000111011110000000010001110000000001000111000000000000010000000000010001110000000000000100000000000000010000000000000000000	iiiaaii	23	Y	3	7	[]	iiiaaii	23	00001000111011110000000010001110000000001000111000000000000010000000000010001110000000000000100000000000000010000000000000000000
88	7	00001110100011110000100000001110000010000000111000000000000010000000100000001110000000000000100000000000000010000000000000000000	iiiaaii	23	Y	4	7	[]	iiiaaii	23	00001110100011110000100000001110000010000000111000000000000010000000100000001110000000000000100000000000000010000000000000000000
89	7	00001010101011110000000000001010000000000000101000000000000000000000000000001010000000000000000000000000000000000000000000000000	iiiaaii	14	Y	5	6	[5]	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000
90	7	00001100110011110000000000001100000000000000110000000000000000000000000000001100000000000000000000000000000000000000000000000000	iiiaaii	14	Y	6	6	[6]	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000
91	7	01001101110111110000010001001101000001000100110100000000000001000100110111011111000001000100110100000100010011010000000000000100	iiiaaia	44	Y	0	6	[0]	iiaaia	22	0100110111011111000001000100110100000100010011010000000000000100
92	7	01001101110111110000010001001101010011011101111100000100010011010000010001001101000000000000010000000100010011010000000000000100	iiiaaia	44	Y	1	6	[1]	iiaaia	22	0100110111011111000001000100110100000100010011010000000000000100
93	7	01001101110111110100110111011111000001000100110100000100010011010000010001001101000001000100110100000000000001000000000000000100	iiiaaia	44	Y	2	6	[2]	iiaaia	22	0100110111011111000001000100110100000100010011010000000000000100
94	7	01001101111111110000010011011111000001001101111100000000010011010000010011011111000000000100110100000000010011010000000000000100	iiiaaia	49	Y	3	7	[]	iiiaaia	49	01001101111111110000010011011111000001001101111100000000010011010000010011011111000000000100110100000000010011010000000000000100
95	7	01001111110111110000110101001111000011010100111100000100000011010000110101001111000001000000110100000100000011010000000000000100	iiiaaia	49	Y	4	7	[]	iiiaaia	49	01001111110111110000110101001111000011010100111100000100000011010000110101001111000001000000110100000100000011010000000000000100
96	7	01011111111111110000010101011111000001010101111100000000000001010000010101011111000000000000010100000000000001010000000000000000	iiiaaia	44	Y	5	6	[5]	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000
97	7	01011101110111110100010101011101010001010101110100000100010001010100010101011101000001000100010100000100010001010000000000000100	iiiaaia	49	Y	6	7	[]	iiiaaia	49	01011101110111110100010101011101010001010101110100000100010001010100010101011101000001000100010100000100010001010000000000000100
98	7	00101011101111110000001000101011000000100010101100000000000000100010101110111111000000100010101100000010001010110000000000000010	iiiaaai	44	Y	0	6	[0]	iiaaai	22	0010101110111111000000100010101100000010001010110000000000000010
99	7	00101011101111110000001000101011001010111011111100000010001010110000001000101011000000000000001000000010001010110000000000000010	iiiaaai	44	Y	1	6	[1]	iiaaai	22	0010101110111111000000100010101100000010001010110000000000000010
100	7	00101011101111110010101110111111000000100010101100000010001010110000001000101011000000100010101100000000000000100000000000000010	iiiaaai	44	Y	2	6	[2]	iiaaai	22	0010101110111111000000100010101100000010001010110000000000000010
101	7	00101011111111110000001010111111000000101011111100000000001010110000001010111111000000000010101100000000001010110000000000000010	iiiaaai	49	Y	3	7	[]	iiiaaai	49	00101011111111110000001010111111000000101011111100000000001010110000001010111111000000000010101100000000001010110000000000000010
102	7	00101111101111110000101100101111000010110010111100000010000010110000101100101111000000100000101100000010000010110000000000000010	iiiaaai	49	Y	4	7	[]	iiiaaai	49	00101111101111110000101100101111000010110010111100000010000010110000101100101111000000100000101100000010000010110000000000000010
103	7	00111011101111110010001100111011001000110011101100000010001000110010001100111011000000100010001100000010001000110000000000000010	iiiaaai	49	Y	5	7	[]	iiiaaai	49	00111011101111110010001100111011001000110011101100000010001000110010001100111011000000100010001100000010001000110000000000000010
104	7	00111111111111110000001100111111000000110011111100000000000000110000001100111111000000000000001100000000000000110000000000000000	iiiaaai	44	Y	6	6	[6]	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000
105	7	01111111111111110001011101111111000101110111111100000001000101110111111111111111000101110111111100010111011111110000000100010111	iiiaaaa	84	Y	0	6	[0]	iiaaaa	42	0111111111111111000101110111111100010111011111110000000100010111
106	7	01111111111111110001011101111111011111111111111100010111011111110001011101111111000000010001011100010111011111110000000100010111	iiiaaaa	84	Y	1	6	[1]	iiaaaa	42	0111111111111111000101110111111100010111011111110000000100010111
107	7	01111111111111110111111111111111000101110111111100010111011111110001011101111111000101110111111100000001000101110000000100010111	iiiaaaa	84	Y	2	6	[2]	iiaaaa	42	0111111111111111000101110111111100010111011111110000000100010111
108	7	01111111111111110001011111111111000101111111111100000001011111110001011111111111000000010111111100000001011111110000000000010111	iiiaaaa	79	Y	3	7	[]	iiiaaaa	79	01111111111111110001011111111111000101111111111100000001011111110001011111111111000000010111111100000001011111110000000000010111
109	7	01111111111111110001111101111111000111110111111100000111000111110001111101111111000001110001111100000111000111110000000100000111	iiiaaaa	79	Y	4	7	[]	iiiaaaa	79	01111111111111110001111101111111000111110111111100000111000111110001111101111111000001110001111100000111000111110000000100000111
110	7	01111111111111110011011101111111001101110111111100010011001101110011011101111111000100110011011100010011001101110000000100010011	iiiaaaa	79	Y	5	7	[]	iiiaaaa	79	01111111111111110011011101111111001101110111111100010011001101110011011101111111000100110011011100010011001101110000000100010011
111	7	01111111111111110101011101111111010101110111111100010101010101110101011101111111000101010101011100010101010101110000000100010101	iiiaaaa	79	Y	6	7	[]	iiiaaaa	79	01111111111111110101011101111111010101110111111100010101010101110101011101111111000101010101011100010101010101110000000100010101
112	7	00000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000	iiaiiii	2	Y	0	6	[0]	iaiiii	1	0000000000000000100000000000000000000000000000000000000000000000
113	7	00000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000	iiaiiii	2	Y	1	6	[1]	iaiiii	1	0000000000000000100000000000000000000000000000000000000000000000
114	7	00000000000000001110100010000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000	iiaiiii	7	Y	2	7	[]	iiaiiii	7	00000000000000001110100010000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000
115	7	00000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiaiiii	2	Y	3	6	[3]	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000
116	7	00000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiaiiii	2	Y	4	6	[4]	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000
117	7	00000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiaiiii	2	Y	5	6	[5]	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000
118	7	00000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiaiiii	2	Y	6	6	[6]	iiaiii	1	0000000010000000000000000000000000000000000000000000000000000000
119	7	01000000000000001101010001000000000000000000000001000000000000000100000000000000110101000100000000000000000000000100000000000000	iiaiiia	14	Y	0	6	[0]	iaiiia	7	0100000000000000110101000100000000000000000000000100000000000000
120	7	01000000000000001101010001000000010000000000000011010100010000000000000000000000010000000000000000000000000000000100000000000000	iiaiiia	14	Y	1	6	[1]	iaiiia	7	0100000000000000110101000100000000000000000000000100000000000000
121	7	01000000000000001111110111010100000000000000000011010100010000000000000000000000110101000100000000000000000000000100000000000000	iiaiiia	23	Y	2	7	[]	iiaiiia	23	01000000000000001111110111010100000000000000000011010100010000000000000000000000110101000100000000000000000000000100000000000000
122	7	01000000010000001101010011010100000000000000000001000000010000000000000000000000010000000100000000000000000000000000000000000000	iiaiiia	14	Y	3	6	[3]	iiaiia	7	0100000011010100000000000100000000000000010000000000000000000000
123	7	01000100000000001101110101000100000000000000000001000100000000000000000000000000010001000000000000000000000000000000000000000000	iiaiiia	14	Y	4	6	[4]	iiaiia	7	0100000011010100000000000100000000000000010000000000000000000000
124	7	01010000000000001111010101010000000000000000000001010000000000000000000000000000010100000000000000000000000000000000000000000000	iiaiiia	14	Y	5	6	[5]	iiaiia	7	0100000011010100000000000100000000000000010000000000000000000000
125	7	01010100010000001101010101010100010000000000000001010100010000000100000000000000010101000100000000000000000000000100000000000000	iiaiiia	23	Y	6	7	[]	iiaiiia	23	01010100010000001101010101010100010000000000000001010100010000000100000000000000010101000100000000000000000000000100000000000000
126	7	00100000000000001011001000100000000000000000000000100000000000000010000000000000101100100010000000000000000000000010000000000000	iiaiiai	14	Y	0	6	[0]	iaiiai	7	0010000000000000101100100010000000000000000000000010000000000000
127	7	00100000000000001011001000100000001000000000000010110010001000000000000000000000001000000000000000000000000000000010000000000000	iiaiiai	14	Y	1	6	[1]	iaiiai	7	0010000000000000101100100010000000000000000000000010000000000000
128	7	00100000000000001111101110110010000000000000000010110010001000000000000000000000101100100010000000000000000000000010000000000000	iiaiiai	23	Y	2	7	[]	iiaiiai	23	00100000000000001111101110110010000000000000000010110010001000000000000000000000101100100010000000000000000000000010000000000000
129	7	00100000001000001011001010110010000000000000000000100000001000000000000000000000001000000010000000000000000000000000000000000000	iiaiiai	14	Y	3	6	[3]	iiaiai	7	0010000010110010000000000010000000000000001000000000000000000000
130	7	00100010000000001011101100100010000000000000000000100010000000000000000000000000001000100000000000000000000000000000000000000000	iiaiiai	14	Y	4	6	[4]	iiaiai	7	0010000010110010000000000010000000000000001000000000000000000000
131	7	00110010001000001011001100110010001000000000000000110010001000000010000000000000001100100010000000000000000000000010000000000000	iiaiiai	23	Y	5	7	[]	iiaiiai	23	00110010001000001011001100110010001000000000000000110010001000000010000000000000001100100010000000000000000000000010000000000000
