	BF_as_int	k	avg_sen	bias
239	3689573992575795199	6	0.875	55
240	4295950351	6	0.875	9
241	1152657619668697087	6	0.875	55
242	4298309683	6	0.875	9
243	3746770587452702719	6	0.875	55
244	4300537941	6	0.875	9
245	6196766168137596927	6	0.875	55
246	844437815230483	6	0.875	9
247	4035014156670156799	6	0.875	55
248	4345496323	6	0.875	9
249	4557430889885204479	6	0.875	55
250	13111	6	0.875	9
251	1383730985509584895	6	0.875	55
252	5519032976661	6	0.875	9
253	6296032276369113087	6	0.875	55
254	365072220247	6	0.875	9
255	1585267065982287871	6	0.875	55
256	286331157	6	0.875	9
257	6302637560808079359	6	0.875	55
258	78643	6	0.875	9
259	3689433257234923519	6	0.875	55
260	72340172838076677	6	0.875	9
261	6881358941222043519	6	0.875	55
262	219043332151	6	0.875	9
263	1441151877336006655	6	0.875	55
264	3311419785991	6	0.875	9
265	2251799810451439615	6	0.875	55
266	4379182341	6	0.875	9
267	6872316420164681727	6	0.875	55
268	21847	6	0.875	9
269	1537416322793603071	6	0.875	55
270	983071	6	0.875	9
271	576196869512757247	6	0.875	55
272	18764712120597	6	0.875	9
273	6302787676214394879	6	0.875	55
274	1407396358717701	6	0.875	9
275	6881324306077278207	6	0.875	55
276	286331155	6	0.875	9
277	3996794551594385407	6	0.875	55
278	1407396358717461	6	0.875	9
279	6340892350792818687	6	0.875	55
280	219043332403	6	0.875	9
281	3710966089530736639	6	0.875	55
282	983311	6	0.875	9
283	1116628824797216767	6	0.875	55
284	64424574991	6	0.875	9
285	1152780763091959807	6	0.875	55
286	3342643	6	0.875	9
287	3710741792581222399	6	0.875	55
288	365072285781	6	0.875	9
289	6196812346921320447	6	0.875	55
290	3342391	6	0.875	9
291	1440927580386492415	6	0.875	55
292	87381	6	0.875	9
293	6148961603732635647	6	0.875	55
294	72340172838076689	6	0.875	9
295	8610741198132313983	6	0.875	55
296	1407396358717447	6	0.875	9
297	2305667084668854271	6	0.875	55
298	4581298449	6	0.875	9
299	8608480567874289663	6	0.875	55
300	4785147619639317	6	0.875	9
301	6340918739474544639	6	0.875	55
302	5570647	6	0.875	9
303	1585080151857692671	6	0.875	55
304	84215047	6	0.875	9
305	2260630403884777471	6	0.875	55
306	5570901	6	0.875	9
307	6160737373266116607	6	0.875	55
308	64424509471	6	0.875	9
309	576460748276891647	6	0.875	55
310	69391	6	0.875	9
311	1085226772707934207	6	0.875	55
312	50791183	6	1.0	11
313	1098631193840058367	6	1.0	53
314	459007	6	1.0	11
315	71811303433306111	6	1.0	53
316	219043332223	6	1.0	11
